"ObjectID","ClassificationID","AATID","AATCN","Classification","SubClassification","SubClassification2","SubClassification3"
"56306","4","300046300","AAT","Photograph","","",""
"56308","0","2","YCBA","(-)","","",""
"56309","34","300047753","AAT","Model","","",""
"56310","6","300266304","AAT","Rare Book","","",""
"56312","1","300033973","AAT","Drawing &amp; Watercolor","","",""
"56313","30","3","YCBA","Painted Object","","",""
"56314","6","300266304","AAT","Rare Book","","",""
"56315","27","300027221","AAT","Poster","","",""
"56316","10","300033618","AAT","Painting","","",""
"56317","10","300033618","AAT","Painting","","",""
"56319","10","300033618","AAT","Painting","","",""
"56321","10","300033618","AAT","Painting","","",""
"56322","10","300033618","AAT","Painting","","",""
"56323","10","300033618","AAT","Painting","","",""
"56325","10","300033618","AAT","Painting","","",""
"56326","10","300033618","AAT","Painting","","",""
"56327","10","300033618","AAT","Painting","","",""
"56328","10","300033618","AAT","Painting","","",""
"56329","10","300033618","AAT","Painting","","",""
"56330","10","300033618","AAT","Painting","","",""
"56331","10","300033618","AAT","Painting","","",""
"56335","10","300033618","AAT","Painting","","",""
"56336","10","300033618","AAT","Painting","","",""
"56337","10","300033618","AAT","Painting","","",""
"56338","10","300033618","AAT","Painting","","",""
"56339","0","2","YCBA","(-)","","",""
"56340","6","300266304","AAT","Rare Book","","",""
"56341","7","300041273","AAT","Print","","",""
"56342","7","300041273","AAT","Print","","",""
"56343","10","300033618","AAT","Painting","","",""
"56344","10","300033618","AAT","Painting","","",""
"56345","10","300033618","AAT","Painting","","",""
"56346","10","300033618","AAT","Painting","","",""
"56347","10","300033618","AAT","Painting","","",""
"56348","6","300266304","AAT","Rare Book","","",""
"56349","6","300266304","AAT","Rare Book","","",""
"56350","10","300033618","AAT","Painting","","",""
"56351","7","300041273","AAT","Print","","",""
"56489","7","300041273","AAT","Print","","",""
"56490","7","300041273","AAT","Print","","",""
"56491","7","300041273","AAT","Print","","",""
"56492","7","300041273","AAT","Print","","",""
"56493","7","300041273","AAT","Print","","",""
"56494","7","300041273","AAT","Print","","",""
"56495","7","300041273","AAT","Print","","",""
"56496","7","300041273","AAT","Print","","",""
"56497","7","300041273","AAT","Print","","",""
"56498","7","300041273","AAT","Print","","",""
"56499","7","300041273","AAT","Print","","",""
"56500","7","300041273","AAT","Print","","",""
"56501","7","300041273","AAT","Print","","",""
"56502","7","300041273","AAT","Print","","",""
"56503","7","300041273","AAT","Print","","",""
"56504","7","300041273","AAT","Print","","",""
"56505","7","300041273","AAT","Print","","",""
"56506","7","300041273","AAT","Print","","",""
"56507","7","300041273","AAT","Print","","",""
"56508","7","300041273","AAT","Print","","",""
"56509","7","300041273","AAT","Print","","",""
"56510","7","300041273","AAT","Print","","",""
"56511","7","300041273","AAT","Print","","",""
"56512","7","300041273","AAT","Print","","",""
"56513","7","300041273","AAT","Print","","",""
"56514","7","300041273","AAT","Print","","",""
"56515","7","300041273","AAT","Print","","",""
"56516","7","300041273","AAT","Print","","",""
"56517","7","300041273","AAT","Print","","",""
"56518","7","300041273","AAT","Print","","",""
"56519","7","300041273","AAT","Print","","",""
"56520","7","300041273","AAT","Print","","",""
"56521","7","300041273","AAT","Print","","",""
"56522","7","300041273","AAT","Print","","",""
"56523","7","300041273","AAT","Print","","",""
"56524","7","300041273","AAT","Print","","",""
"56525","7","300041273","AAT","Print","","",""
"56526","7","300041273","AAT","Print","","",""
"56527","7","300041273","AAT","Print","","",""
"56528","7","300041273","AAT","Print","","",""
"56529","7","300041273","AAT","Print","","",""
"56530","7","300041273","AAT","Print","","",""
"56531","7","300041273","AAT","Print","","",""
"56532","7","300041273","AAT","Print","","",""
