"ID","objRightID","ConstituentID","NameID","DisplayOrder","RoleID","TableID","Prefix","Suffix","RoletypeID","Active","Displayed","DisplayName"
"4174","465","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"4175","466","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"38243","467","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"38248","468","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"38252","469","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"38254","470","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"38259","471","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"38260","472","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"38263","473","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"38265","474","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"4455","475","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"4457","476","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"4438","477","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"4439","478","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"10098","479","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"10099","480","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"10100","481","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"1584","482","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"50786","502","11068","12710","1","99","126","","","19","1","1","Design and Artists Copyright Society"
"2899","567","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"45838","568","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"2738","570","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"1374","571","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"1422","572","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"1570","573","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"1571","574","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"1513","576","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"52314","577","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"2739","578","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"10345","579","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"1258","580","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"2791","586","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"2778","587","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3104","588","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3122","589","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"38864","590","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"4471","591","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"4973","592","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"5519","593","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"7346","594","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"45820","595","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"49460","596","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"25441","598","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"2896","599","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"20695","600","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"1302","601","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3990","602","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3991","603","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3992","604","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"3993","605","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"48752","655","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"48754","657","2027","12398","1","99","126","Estate of","","19","1","1","Estate of Bridgeman Artists' Copyright Service"
"48756","659","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"48757","660","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"54981","701","6428","3625","1","99","126","","","19","1","1","Artists Rights Society"
"54981","701","11068","12710","2","99","126","","","19","1","1","Design and Artists Copyright Society"
"54982","702","6428","3625","1","99","126","","","19","1","1","Artists Rights Society"
"54982","702","11068","12710","2","99","126","","","19","1","1","Design and Artists Copyright Society"
"55446","704","6428","3625","1","99","126","","","19","1","1","Artists Rights Society"
"55446","704","11068","12710","2","99","126","","","19","1","1","Design and Artists Copyright Society"
"6469","1032","1284","10154","1","99","126","","","19","1","1","Tate Britain"
"45461","1033","1284","10154","1","99","126","","","19","1","1","Tate Britain"
"1264","1034","1284","10154","1","99","126","","","19","1","1","Tate Britain"
"2790","1035","1284","10154","1","99","126","","","19","1","1","Tate Britain"
"2802","1036","1284","10154","1","99","126","","","19","1","1","Tate Britain"
"3108","1037","1284","10154","1","99","126","","","19","1","1","Tate Britain"
"3352","1038","1284","10154","1","99","126","","","19","1","1","Tate Britain"
"4444","1039","1284","10154","1","99","126","","","19","1","1","Tate Britain"
"4265","1040","1284","10154","1","99","126","","","19","1","1","Tate Britain"
"10543","1041","1284","10154","1","99","126","","","19","1","1","Tate Britain"
"1429","2761","6428","3625","1","99","126","","","19","1","1","Artists Rights Society"
"1429","2761","11068","12710","2","99","126","","","19","1","1","Design and Artists Copyright Society"
"49608","2787","11068","12710","1","99","126","","","19","1","1","Design and Artists Copyright Society"
"54276","2800","6428","3625","1","99","126","","","19","1","1","Artists Rights Society"
"54276","2800","11068","12710","2","99","126","","","19","1","1","Design and Artists Copyright Society"
"54277","2801","6428","3625","1","99","126","","","19","1","1","Artists Rights Society"
"54277","2801","11068","12710","2","99","126","","","19","1","1","Design and Artists Copyright Society"
"54281","2802","6428","3625","1","99","126","","","19","1","1","Artists Rights Society"
"54281","2802","11068","12710","2","99","126","","","19","1","1","Design and Artists Copyright Society"
"34218","3111","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
"1329","3113","2408","13366","1","99","126","","","19","1","1","Jonathan Clark Fine Art"
"1342","3114","2408","13366","1","99","126","","","19","1","1","Jonathan Clark Fine Art"
"1378","3115","2408","6965","1","99","126","","","19","1","1","Jonathan Clark &amp; Co"
"1379","3116","2408","6965","1","99","126","","","19","1","1","Jonathan Clark &amp; Co"
"1425","3117","2408","6965","1","99","126","","","19","1","1","Jonathan Clark &amp; Co"
"1523","3307","2027","12398","1","99","126","","","19","1","1","Bridgeman Artists' Copyright Service"
