"ID","Rlink"
"64326","http://collections.britishart.yale.edu/vufind/Record/3664189"
"64327","http://collections.britishart.yale.edu/vufind/Record/3664190"
"64329","http://collections.britishart.yale.edu/vufind/Record/3664191"
"64330","http://collections.britishart.yale.edu/vufind/Record/3664192"
"64332","http://collections.britishart.yale.edu/vufind/Record/3664193"
"64333","http://collections.britishart.yale.edu/vufind/Record/3664194"
"64334","http://collections.britishart.yale.edu/vufind/Record/3664195"
"64335","http://collections.britishart.yale.edu/vufind/Record/3664196"
"64336","http://collections.britishart.yale.edu/vufind/Record/3664197"
"64337","http://collections.britishart.yale.edu/vufind/Record/3664198"
"64339","http://collections.britishart.yale.edu/vufind/Record/3664199"
"64340","http://collections.britishart.yale.edu/vufind/Record/3664200"
"64341","http://collections.britishart.yale.edu/vufind/Record/3664201"
"64343","http://collections.britishart.yale.edu/vufind/Record/3664202"
"64344","http://collections.britishart.yale.edu/vufind/Record/3664203"
"64345","http://collections.britishart.yale.edu/vufind/Record/3664204"
"64346","http://collections.britishart.yale.edu/vufind/Record/3664205"
"64350","http://collections.britishart.yale.edu/vufind/Record/3664206"
"64351","http://collections.britishart.yale.edu/vufind/Record/3664207"
"64352","http://collections.britishart.yale.edu/vufind/Record/3664208"
"64353","http://collections.britishart.yale.edu/vufind/Record/3664209"
"64354","http://collections.britishart.yale.edu/vufind/Record/3664210"
"64356","http://collections.britishart.yale.edu/vufind/Record/3664211"
"64357","http://collections.britishart.yale.edu/vufind/Record/3664212"
"64359","http://collections.britishart.yale.edu/vufind/Record/3664213"
"64363","http://collections.britishart.yale.edu/vufind/Record/3664215"
"64364","http://collections.britishart.yale.edu/vufind/Record/3664216"
"64365","http://collections.britishart.yale.edu/vufind/Record/3664217"
"64366","http://collections.britishart.yale.edu/vufind/Record/3664218"
"64368","http://collections.britishart.yale.edu/vufind/Record/3664219"
"64369","http://collections.britishart.yale.edu/vufind/Record/3664220"
"64370","http://collections.britishart.yale.edu/vufind/Record/3664221"
"64373","http://collections.britishart.yale.edu/vufind/Record/3664222"
"64374","http://collections.britishart.yale.edu/vufind/Record/3664223"
"64375","http://collections.britishart.yale.edu/vufind/Record/3664224"
"64376","http://collections.britishart.yale.edu/vufind/Record/3664225"
"64378","http://collections.britishart.yale.edu/vufind/Record/3664226"
"64380","http://collections.britishart.yale.edu/vufind/Record/3664227"
"64381","http://collections.britishart.yale.edu/vufind/Record/3664228"
"64382","http://collections.britishart.yale.edu/vufind/Record/3664229"
"64384","http://collections.britishart.yale.edu/vufind/Record/3664230"
"64385","http://collections.britishart.yale.edu/vufind/Record/3664231"
"64386","http://collections.britishart.yale.edu/vufind/Record/3664232"
"64387","http://collections.britishart.yale.edu/vufind/Record/3664233"
"64388","http://collections.britishart.yale.edu/vufind/Record/3664234"
"64391","http://collections.britishart.yale.edu/vufind/Record/3664235"
"64397","http://collections.britishart.yale.edu/vufind/Record/3664236"
"64398","http://collections.britishart.yale.edu/vufind/Record/3664237"
"64399","http://collections.britishart.yale.edu/vufind/Record/3664238"
"64400","http://collections.britishart.yale.edu/vufind/Record/3664239"
"64402","http://collections.britishart.yale.edu/vufind/Record/3664240"
"64404","http://collections.britishart.yale.edu/vufind/Record/3664241"
"64405","http://collections.britishart.yale.edu/vufind/Record/3664242"
"64411","http://collections.britishart.yale.edu/vufind/Record/3664244"
"64413","http://collections.britishart.yale.edu/vufind/Record/3664245"
"64416","http://collections.britishart.yale.edu/vufind/Record/3664246"
"64417","http://collections.britishart.yale.edu/vufind/Record/3664247"
"64418","http://collections.britishart.yale.edu/vufind/Record/3664248"
"64419","http://collections.britishart.yale.edu/vufind/Record/3664249"
"64420","http://collections.britishart.yale.edu/vufind/Record/3664250"
"64428","http://collections.britishart.yale.edu/vufind/Record/3664252"
"64430","http://collections.britishart.yale.edu/vufind/Record/3664253"
"64431","http://collections.britishart.yale.edu/vufind/Record/3664254"
"64433","http://collections.britishart.yale.edu/vufind/Record/3664255"
"64436","http://collections.britishart.yale.edu/vufind/Record/3664256"
"64443","http://collections.britishart.yale.edu/vufind/Record/3664258"
"64444","http://collections.britishart.yale.edu/vufind/Record/3664259"
"64445","http://collections.britishart.yale.edu/vufind/Record/3664260"
"64446","http://collections.britishart.yale.edu/vufind/Record/3664261"
"64450","http://collections.britishart.yale.edu/vufind/Record/3664262"
"64451","http://collections.britishart.yale.edu/vufind/Record/3664263"
"64453","http://collections.britishart.yale.edu/vufind/Record/3664264"
"64454","http://collections.britishart.yale.edu/vufind/Record/3664265"
"64455","http://collections.britishart.yale.edu/vufind/Record/3664266"
"64458","http://collections.britishart.yale.edu/vufind/Record/3664268"
"64468","http://collections.britishart.yale.edu/vufind/Record/3664270"
"64469","http://collections.britishart.yale.edu/vufind/Record/3664271"
"64470","http://collections.britishart.yale.edu/vufind/Record/3664272"
"64471","http://collections.britishart.yale.edu/vufind/Record/3664273"
"64476","http://collections.britishart.yale.edu/vufind/Record/3664274"
"64477","http://collections.britishart.yale.edu/vufind/Record/3664275"
"64478","http://collections.britishart.yale.edu/vufind/Record/3664276"
"64479","http://collections.britishart.yale.edu/vufind/Record/3664277"
"64481","http://collections.britishart.yale.edu/vufind/Record/3664278"
"64484","http://collections.britishart.yale.edu/vufind/Record/3664279"
"64485","http://collections.britishart.yale.edu/vufind/Record/3664280"
"64489","http://collections.britishart.yale.edu/vufind/Record/3664281"
"64493","http://collections.britishart.yale.edu/vufind/Record/3664282"
"64494","http://collections.britishart.yale.edu/vufind/Record/3664283"
"64495","http://collections.britishart.yale.edu/vufind/Record/3664284"
"64496","http://collections.britishart.yale.edu/vufind/Record/3664285"
"64497","http://collections.britishart.yale.edu/vufind/Record/3664286"
"64498","http://collections.britishart.yale.edu/vufind/Record/3664287"
"64499","http://collections.britishart.yale.edu/vufind/Record/3664288"
"64500","http://collections.britishart.yale.edu/vufind/Record/3664289"
"64503","http://collections.britishart.yale.edu/vufind/Record/3664291"
"64504","http://collections.britishart.yale.edu/vufind/Record/3664292"
"64506","http://collections.britishart.yale.edu/vufind/Record/3664293"
"64507","http://collections.britishart.yale.edu/vufind/Record/3664294"
"64509","http://collections.britishart.yale.edu/vufind/Record/3664295"
"64510","http://collections.britishart.yale.edu/vufind/Record/3664296"
"64512","http://collections.britishart.yale.edu/vufind/Record/3664297"
"64514","http://collections.britishart.yale.edu/vufind/Record/3664298"
"64515","http://collections.britishart.yale.edu/vufind/Record/3664299"
"64516","http://collections.britishart.yale.edu/vufind/Record/3664300"
"64519","http://collections.britishart.yale.edu/vufind/Record/3664301"
"64520","http://collections.britishart.yale.edu/vufind/Record/3664302"
"64521","http://collections.britishart.yale.edu/vufind/Record/3664303"
"64522","http://collections.britishart.yale.edu/vufind/Record/3664304"
"64524","http://collections.britishart.yale.edu/vufind/Record/3664305"
"64525","http://collections.britishart.yale.edu/vufind/Record/3664306"
"64529","http://collections.britishart.yale.edu/vufind/Record/3664307"
"64530","http://collections.britishart.yale.edu/vufind/Record/3664308"
"64533","http://collections.britishart.yale.edu/vufind/Record/3664309"
"64537","http://collections.britishart.yale.edu/vufind/Record/3664310"
"64539","http://collections.britishart.yale.edu/vufind/Record/3664311"
"64540","http://collections.britishart.yale.edu/vufind/Record/3664312"
"64541","http://collections.britishart.yale.edu/vufind/Record/3664313"
"64543","http://collections.britishart.yale.edu/vufind/Record/3664314"
"64544","http://collections.britishart.yale.edu/vufind/Record/3664315"
"64549","http://collections.britishart.yale.edu/vufind/Record/3664316"
"64550","http://collections.britishart.yale.edu/vufind/Record/3664317"
"64553","http://collections.britishart.yale.edu/vufind/Record/3664318"
"64560","http://collections.britishart.yale.edu/vufind/Record/3664319"
"64561","http://collections.britishart.yale.edu/vufind/Record/3664320"
"64562","http://collections.britishart.yale.edu/vufind/Record/3664321"
"64563","http://collections.britishart.yale.edu/vufind/Record/3664322"
"64564","http://collections.britishart.yale.edu/vufind/Record/3664323"
"64566","http://collections.britishart.yale.edu/vufind/Record/3664324"
"64570","http://collections.britishart.yale.edu/vufind/Record/3664326"
"64571","http://collections.britishart.yale.edu/vufind/Record/3664327"
"64572","http://collections.britishart.yale.edu/vufind/Record/3664328"
"64574","http://collections.britishart.yale.edu/vufind/Record/3664329"
"64576","http://collections.britishart.yale.edu/vufind/Record/3664330"
"64581","http://collections.britishart.yale.edu/vufind/Record/3664332"
"64582","http://collections.britishart.yale.edu/vufind/Record/3664333"
"64584","http://collections.britishart.yale.edu/vufind/Record/3664334"
"64587","http://collections.britishart.yale.edu/vufind/Record/3664335"
"64588","http://collections.britishart.yale.edu/vufind/Record/3664336"
"64590","http://collections.britishart.yale.edu/vufind/Record/3664337"
"64591","http://collections.britishart.yale.edu/vufind/Record/3664338"
"64593","http://collections.britishart.yale.edu/vufind/Record/3664339"
"64598","http://collections.britishart.yale.edu/vufind/Record/3664340"
"64602","http://collections.britishart.yale.edu/vufind/Record/3664341"
"64603","http://collections.britishart.yale.edu/vufind/Record/3664342"
"64604","http://collections.britishart.yale.edu/vufind/Record/3664343"
"64605","http://collections.britishart.yale.edu/vufind/Record/3664344"
"64622","http://collections.britishart.yale.edu/vufind/Record/3664345"
"64627","http://collections.britishart.yale.edu/vufind/Record/3664346"
"64632","http://collections.britishart.yale.edu/vufind/Record/3664347"
"64636","http://collections.britishart.yale.edu/vufind/Record/3664348"
"64637","http://collections.britishart.yale.edu/vufind/Record/3664349"
"64638","http://collections.britishart.yale.edu/vufind/Record/3664350"
"64639","http://collections.britishart.yale.edu/vufind/Record/3664351"
"64640","http://collections.britishart.yale.edu/vufind/Record/3664352"
"64641","http://collections.britishart.yale.edu/vufind/Record/3664353"
"64643","http://collections.britishart.yale.edu/vufind/Record/3664354"
"64644","http://collections.britishart.yale.edu/vufind/Record/3664355"
"64646","http://collections.britishart.yale.edu/vufind/Record/3664356"
"64647","http://collections.britishart.yale.edu/vufind/Record/3664357"
"64649","http://collections.britishart.yale.edu/vufind/Record/3664358"
"64650","http://collections.britishart.yale.edu/vufind/Record/3664359"
"64651","http://collections.britishart.yale.edu/vufind/Record/3664360"
"64653","http://collections.britishart.yale.edu/vufind/Record/3664361"
"64654","http://collections.britishart.yale.edu/vufind/Record/3664362"
"64655","http://collections.britishart.yale.edu/vufind/Record/3664363"
"64656","http://collections.britishart.yale.edu/vufind/Record/3664364"
"64657","http://collections.britishart.yale.edu/vufind/Record/3664365"
"64658","http://collections.britishart.yale.edu/vufind/Record/3664366"
"64659","http://collections.britishart.yale.edu/vufind/Record/3664367"
"64660","http://collections.britishart.yale.edu/vufind/Record/3664368"
"64661","http://collections.britishart.yale.edu/vufind/Record/3664369"
"64662","http://collections.britishart.yale.edu/vufind/Record/3664370"
"64663","http://collections.britishart.yale.edu/vufind/Record/3664371"
"64664","http://collections.britishart.yale.edu/vufind/Record/3664372"
"64665","http://collections.britishart.yale.edu/vufind/Record/3664373"
"64666","http://collections.britishart.yale.edu/vufind/Record/3664374"
"64667","http://collections.britishart.yale.edu/vufind/Record/3664375"
"64668","http://collections.britishart.yale.edu/vufind/Record/3664376"
"64669","http://collections.britishart.yale.edu/vufind/Record/3664377"
"64670","http://collections.britishart.yale.edu/vufind/Record/3664378"
"64671","http://collections.britishart.yale.edu/vufind/Record/3664379"
"64672","http://collections.britishart.yale.edu/vufind/Record/3664380"
"64673","http://collections.britishart.yale.edu/vufind/Record/3664381"
"64674","http://collections.britishart.yale.edu/vufind/Record/3664382"
"64675","http://collections.britishart.yale.edu/vufind/Record/3664383"
"64676","http://collections.britishart.yale.edu/vufind/Record/3664384"
"64677","http://collections.britishart.yale.edu/vufind/Record/3664385"
"64679","http://collections.britishart.yale.edu/vufind/Record/3664386"
"64680","http://collections.britishart.yale.edu/vufind/Record/3664387"
"64683","http://collections.britishart.yale.edu/vufind/Record/3664388"
"64685","http://collections.britishart.yale.edu/vufind/Record/3664389"
"64686","http://collections.britishart.yale.edu/vufind/Record/3664390"
"64687","http://collections.britishart.yale.edu/vufind/Record/3664391"
"64688","http://collections.britishart.yale.edu/vufind/Record/3664392"
"64689","http://collections.britishart.yale.edu/vufind/Record/3664393"
"64690","http://collections.britishart.yale.edu/vufind/Record/3664394"
"64691","http://collections.britishart.yale.edu/vufind/Record/3664395"
"64692","http://collections.britishart.yale.edu/vufind/Record/3664396"
"64693","http://collections.britishart.yale.edu/vufind/Record/3664397"
"64695","http://collections.britishart.yale.edu/vufind/Record/3664398"
"64696","http://collections.britishart.yale.edu/vufind/Record/3664399"
"64697","http://collections.britishart.yale.edu/vufind/Record/3664400"
"64698","http://collections.britishart.yale.edu/vufind/Record/3664401"
"64699","http://collections.britishart.yale.edu/vufind/Record/3664402"
"64700","http://collections.britishart.yale.edu/vufind/Record/3664403"
"64701","http://collections.britishart.yale.edu/vufind/Record/3664404"
"64702","http://collections.britishart.yale.edu/vufind/Record/3664405"
"64703","http://collections.britishart.yale.edu/vufind/Record/3664406"
"64704","http://collections.britishart.yale.edu/vufind/Record/3664407"
