"localID","Name","Notes","packageID","objPackID"
"57717","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"57718","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"57719","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"57720","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"57745","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"58425","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"58441","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"58474","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"58475","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"59577","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"59649","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"59650","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"59651","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"59652","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"60075","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"63742","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"63745","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
"64922","ycbaDeletedObj","YCBA objects deleted from COBOAT export","4919","4919"
